,Object-ID,SYS_CODE,LOC_NAME,BED_CODE,MAN_NAME,DES_TYPE,CAT_DES,BLD_CODE,ADDRESS,ST_CODE,LAT,LON,COM_DIST,COUN_DIS,CENSUS_TRACT,BOR_BLOCK,NTA,NTA_NAME,ADM_DIST,DBN_CODE,SCH_NAME,YEAR,TOT_ENRO,GRADE PK,GRADE K,GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,NUM_POV,PERC_POV,ECON_IND
35,K039,1.63782766556298e-312,P.S. 039 Henry Bristow,332000000000,DOE,General Academic,Elementary,K039,417 6 AVENUE,NY,40.668644,-73.982909,306,39,15300,1.48713759447622e-314,BK37,Park Slope-Gowanus,COMMUNITY SCHOOL DISTRICT 15,15K039,P.S. 039 Henry Bristow,2018-19,412,0,74,61,79,75,69,54,0,0,0,0,0,0,0,55,13%,15%
36,K040,1.63832173121376e-312,P.S. 040 George W. Carver,332000000000,DOE,General Academic,Elementary,K040,265 RALPH AVENUE,NY,40.680239,-73.921099,303,41,37900,1.48969685452168e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 16,16K040,P.S. 040 George W. Carver,2018-19,348,52,47,40,47,58,52,52,0,0,0,0,0,0,0,289,83%,90%
37,K041,1.64178019073959e-312,P.S. 041 Francis White,332000000000,DOE,General Academic,K-8,K041,411 THATFORD AVENUE,NY,40.660455,-73.906925,316,42,91800,1.50000306389392e-314,BK81,Brownsville,COMMUNITY SCHOOL DISTRICT 23,23K041,P.S. 041 Francis White,2018-19,402,0,25,42,44,41,49,39,50,48,64,0,0,0,0,390,97%,95%
38,K044,1.636839534296e-312,P.S. 044 Marcus Garvey,331000000000,DOE,General Academic,Elementary,K044,432 MONROE STREET,NY,40.686213,-73.940859,303,36,27700,1.49119387342857e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 13,13K044,P.S. 044 Marcus Garvey,2018-19,119,10,19,25,21,15,12,17,0,0,0,0,0,0,0,113,95%,92%
39,K045,1.64622678157193e-312,P.S./I.S. 045 Horace E. Greene,333000000000,DOE,General Academic,K-8,K045,84 SCHAEFER STREET,NY,40.686424,-73.910430,304,37,40100,1.49912857264144e-314,BK78,Bushwick South,COMMUNITY SCHOOL DISTRICT 32,32K045,P.S./I.S. 045 Horace E. Greene,2018-19,621,33,49,55,66,59,64,75,73,74,73,0,0,0,0,509,82%,84%
40,K046,1.63683953430588e-312,P.S. 046 Edward C. Blum,331000000000,DOE,General Academic,Elementary,K046,100 CLERMONT AVENUE,NY,40.694530,-73.971644,302,35,18700,1.49230058541592e-314,BK68,Fort Greene,COMMUNITY SCHOOL DISTRICT 13,13K046,P.S. 046 Edward C. Blum,2018-19,260,45,30,29,26,44,39,47,0,0,0,0,0,0,0,230,89%,84%
41,K048,1.64029799383665e-312,P.S. 048 Mapleton,332000000000,DOE,General Academic,Elementary,K048,6015 18 AVENUE,NY,40.621481,-73.987165,312,44,24400,1.50946442101178e-314,BK88,Borough Park,COMMUNITY SCHOOL DISTRICT 20,20K048,P.S. 048 Mapleton,2018-19,565,18,101,98,93,95,70,90,0,0,0,0,0,0,0,401,71%,77%
42,K050,1.63733359997149e-312,J.H.S. 050 John D. Wells,331000000000,DOE,General Academic,Junior High-Intermediate-Middle,K050,183 SOUTH �������������,NY,40.711915,-73.960137,301,34,52300,1.49414838599071e-314,BK73,North Side-South Side,COMMUNITY SCHOOL DISTRICT 14,14K050,J.H.S. 050 John D. Wells,2018-19,324,0,0,0,0,0,0,0,107,108,109,0,0,0,0,288,89%,85%
43,K051,1.63782766562227e-312,M.S. 51 William Alexander,332000000000,DOE,General Academic,Junior High-Intermediate-Middle,K051,350 5 AVENUE,NY,40.672358,-73.985050,306,39,13500,1.48704377635073e-314,BK37,Park Slope-Gowanus,COMMUNITY SCHOOL DISTRICT 15,15K051,M.S. 51 William Alexander,2018-19,1135,0,0,0,0,0,0,0,389,376,370,0,0,0,0,366,32%,35%
44,K052,1.6412861251481e-312,P.S. 052 Sheepshead Bay,332000000000,DOE,General Academic,Elementary,K052,2675 EAST ��������������,NY,40.588372,-73.940135,315,48,60000,1.51912340438798e-314,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,COMMUNITY SCHOOL DISTRICT 22,22K052,P.S. 052 Sheepshead Bay,2018-19,817,72,122,127,103,136,126,131,0,0,0,0,0,0,0,622,76%,70%
45,K053,1.51925192545222e-312,P.S. K053,308000000000,DOE,Special Education,K-12 all grades,K088,544 7TH AVENUE,NY,40.660805,-73.988743,307,38,14700,1.48654471570121e-314,BK32,Sunset Park West,CITYWIDE SPECIAL EDUCATION,75K053,P.S. K053,2018-19,448,0,15,33,29,59,11,18,41,40,35,23,20,25,99,393,88%,89%
46,K054,1.63683953434541e-312,P.S. 054 Samuel C. Barnes,331000000000,DOE,General Academic,Elementary,K054,195 SANDFORD STREET,NY,40.692616,-73.952504,303,33,24100,1.49091720358382e-314,BK75,Bedford,COMMUNITY SCHOOL DISTRICT 13,13K054,P.S. 054 Samuel C. Barnes,2018-19,226,49,34,22,34,29,27,31,0,0,0,0,0,0,0,199,88%,83%
47,K056,1.63683953435529e-312,P.S. 056 Lewis H. Latimer,331000000000,DOE,General Academic,Elementary,K056,170 GATES AVENUE,NY,40.684286,-73.960536,302,35,23100,1.49199426422143e-314,BK69,Clinton Hill,COMMUNITY SCHOOL DISTRICT 13,13K056,P.S. 056 Lewis H. Latimer,2018-19,264,36,49,49,29,33,34,34,0,0,0,0,0,0,0,171,65%,65%
48,K057,1.63832173129776e-312,J.H.S. 057 Whitelaw Reid,332000000000,DOE,General Academic,Junior High-Intermediate-Middle,K057,125 STUYVESANT AVENUE,NY,40.691467,-73.932254,303,36,29100,1.4901810388546e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 16,16K057,J.H.S. 057 Whitelaw Reid,2018-19,160,0,0,0,0,0,0,0,38,57,65,0,0,0,0,151,94%,92%
49,K058,1.63782766565685e-312,P.S. 058 The Carroll,332000000000,DOE,General Academic,Elementary,K058,330 SMITH STREET,NY,40.680379,-73.995486,306,39,7700,1.48441529968455e-314,BK33,Carroll Gardens-Columbia Street-Red Hook,COMMUNITY SCHOOL DISTRICT 15,15K058,P.S. 058 The Carroll,2018-19,1009,54,177,157,162,154,149,156,0,0,0,0,0,0,0,120,12%,11%
50,K059,1.63733360001595e-312,P.S. 059 William Floyd,331000000000,DOE,General Academic,Elementary,K059,211 THROOP AVENUE,NY,40.697619,-73.943279,303,36,28502,1.49083814616357e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 14,14K059,P.S. 059 William Floyd,2018-19,336,35,51,45,54,49,57,45,0,0,0,0,0,0,0,318,95%,94%
51,K061,1.63881579696336e-312,M.S. 061 Dr. Gladstone H. Atwell,332000000000,DOE,General Academic,Junior High-Intermediate-Middle,K061,400 EMPIRE BOULEVARD,NY,40.663605,-73.949198,309,40,32900,1.488698848834e-314,BK60,Prospect Lefferts Gardens-Wingate,COMMUNITY SCHOOL DISTRICT 17,17K061,M.S. 061 Dr. Gladstone H. Atwell,2018-19,669,0,0,0,0,0,0,0,205,192,272,0,0,0,0,484,72%,76%
52,K062,1.64029799390582e-312,J.H.S. 062 Ditmas,332000000000,DOE,General Academic,Junior High-Intermediate-Middle,K062,700 CORTELYOU ROAD,NY,40.638087,-73.971153,312,40,49000,1.50883201698511e-314,BK41,Kensington-Ocean Parkway,COMMUNITY SCHOOL DISTRICT 20,20K062,J.H.S. 062 Ditmas,2018-19,1213,0,0,0,0,0,0,0,380,386,447,0,0,0,0,1037,86%,82%
53,K065,1.6398039282748e-312,P.S. 065,332000000000,DOE,General Academic,Elementary,K798,696 JAMAICA AVENUE,NY,40.686534,-73.878353,305,37,117601,1.50246351970339e-314,BK83,Cypress Hills-City Line,COMMUNITY SCHOOL DISTRICT 19,19K065,P.S. 065,2018-19,586,0,92,84,94,104,97,115,0,0,0,0,0,0,0,478,82%,85%
54,K066,1.6393098626339e-312,P.S. 66,332000000000,DOE,General Academic,K-8,K066,845 EAST ��������������,NY,40.648749,-73.907064,318,42,97000,1.52235956351811e-314,BK50,Canarsie,COMMUNITY SCHOOL DISTRICT 18,18K066,P.S. 66,2018-19,798,30,57,72,67,66,78,84,118,127,99,0,0,0,0,539,68%,60%
55,K067,1.63683953440964e-312,P.S. 067 Charles A. Dorsey,331000000000,DOE,General Academic,Elementary,K067,51 SAINT EDWARDS STREET,NY,40.695339,-73.977674,302,35,2901,1.49227093703057e-314,BK68,Fort Greene,COMMUNITY SCHOOL DISTRICT 13,13K067,P.S. 067 Charles A. Dorsey,2018-19,217,18,38,33,30,30,34,34,0,0,0,0,0,0,0,213,98%,93%
