,LON,LAT,TOT_ENRO
175,40.587612,-73.985368,720
176,40.659845,-73.889968,263
177,40.675881,-73.862961,875
178,40.602722,-73.970171,838
179,40.59,-73.969647,745
180,40.633482,-73.966442,1141
181,40.67002,-73.874537,428
182,40.658834,-73.922296,427
183,40.640997,-74.00125,1521
184,40.663964,-73.935753,263
185,40.614005,-73.939205,888
186,40.6351,-73.982424,939
187,40.664143,-73.866542,395
188,40.58026,-73.955856,996
189,40.615405,-73.977099,1022
190,40.622102,-73.995961,1614
191,40.60066,-73.976801,1413
192,40.610331,-74.013585,1252
193,40.645609,-73.980515,1111
194,40.626454,-73.98925,351
195,40.651642,-73.914282,416
196,40.604447,-73.955217,1768
197,40.655337,-73.940922,1220
198,40.615494,-73.912005,559
199,40.608801,-73.964586,614
200,40.57864,-73.992447,1336
201,40.623788,-73.946836,689
202,40.668913,-73.960924,470
203,40.675675,-73.935093,243
204,40.647851,-73.925592,482
205,40.644927,-73.962743,312
206,40.648352,-73.95348,409
207,40.612247,-73.987195,863
208,40.649509,-73.966456,878
209,40.706708,-73.945659,462
210,40.63195,-73.923894,478
211,40.580237,-73.961962,945
212,40.591103,-73.95155,766
213,40.604461,-73.955891,882
214,40.690595,-73.94961,245
215,40.702759,-73.941345,601
216,40.626089,-74.014633,1890
217,40.687218,-73.988667,794
218,40.682949,-73.930132,176
219,40.621025,-74.029444,460
220,40.697177,-73.976104,313
221,40.678809,-73.976648,160
222,40.68797,-73.932066,236
223,40.657421,-73.92756,338
224,40.691275,-73.961134,112
225,40.635542,-73.886373,449
226,40.6585,-73.879276,340
227,40.694179,-73.92818,359
228,40.634005,-73.908436,611
229,40.595798,-73.92785,433
230,40.606745,-73.938721,1203
231,40.644134,-73.892797,402
232,40.594648,-73.993565,1346
233,40.676649,-73.977983,650
234,40.666942,-73.907634,280
235,40.647818,-73.920784,752
236,40.697856,-73.98112,145
237,40.574029,-73.992393,615
238,40.674244,-73.942401,362
239,40.678182,-73.889375,461
240,40.695875,-73.915217,290
241,40.671601,-73.893319,563
242,40.660805,-73.988743,431
243,40.697377,-73.948166,204
244,40.671015,-73.907718,281
245,40.690755,-73.917899,238
246,40.685653,-73.94573,94
247,40.582518,-73.972009,567
248,40.685653,-73.94573,142
249,40.65534,-73.88662,303
250,40.701789,-73.981599,372
251,40.688323,-73.935509,249
252,40.6881,-73.924422,216
253,40.632143,-74.007533,411
254,40.622442,-73.909554,786
255,40.702952,-73.992076,277
256,40.632619,-73.954269,650
257,40.674685,-73.961418,574
258,40.703034,-73.948771,1205
259,40.709632,-73.953881,116
260,40.671816,-73.978633,1381
261,40.666187,-73.911279,614
262,40.653368,-73.893294,200
263,40.628417,-73.92825,170
264,40.668232,-73.911788,292
265,40.667985,-73.898249,290
266,40.574666,-73.99577,388
267,40.6771,-73.960093,494
268,40.674491,-73.928673,214
269,40.593028,-73.986313,347
270,40.676357,-73.970315,204
271,40.582518,-73.972009,623
272,40.676207,-73.879886,547
273,40.64664,-73.881997,566
274,40.70081,-73.927938,312
275,40.593028,-73.986313,241
276,40.70081,-73.927938,328
277,40.69733,-73.984528,207
278,40.684286,-73.960536,161
279,40.665199,-73.959484,133
280,40.674685,-73.961418,173
281,40.67229,-73.937601,297
282,40.706069,-73.962049,330
283,40.662092,-73.936313,1293
284,40.67229,-73.937601,870
285,40.664067,-73.893328,1110
286,40.659934,-73.885704,221
287,40.675675,-73.935093,307
288,40.637625,-73.947672,639
289,40.662985,-73.992254,498
290,40.671015,-73.907718,278
291,40.646211,-73.881115,329
292,40.647396,-73.891743,399
293,40.696698,-73.947557,762
294,40.696698,-73.947557,250
295,40.687432,-73.983312,534
296,40.577709,-73.969872,249
297,40.654306,-74.005168,250
298,40.676198,-73.9855,207
299,40.699214,-73.945211,454
