BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
K280,PRE-K CENTER AT BISHOP FORD SC,OTHER,939473,632
K282,P.S. 282 - BROOKLYN,OTHER,754444,507
K284,P.S. 284 - BROOKLYN,OTHER,1554214,1045
K284,P.S. 284 - BROOKLYN,PENET,2854694,1920
K285,I.S. 285 - BROOKLYN,OTHER,1524758,1025
K289,P.S. 289 - BROOKLYN,OTHER,143491,96
K290,P.S. 290 - BROOKLYN,OTHER,650053,437
K290,P.S. 290 - BROOKLYN,ROOF,3922381,2638
K291,BUSHWICK COMMUNITY HS - BROOKL,OTHER,130360,88
K291,I.S. 291 - BROOKLYN,OTHER,1400344,942
K291,"MATH, ENGINEERING, AND SCIENCE",OTHER,96843,65
K292,I.S. 292 - BROOKLYN,OTHER,318100,214
K293,DIGITAL ARTS AND CINEMA TECHNO,OTHER,14386,10
K293,THE BOERUM HILL SCHOOL FOR INT,OTHER,205860,138
K296,I.S. 562 - BROOKLYN,OTHER,234060,157
K296,K053 SPED - BROOKLYN,OTHER,522102,351
K297,P.S. 297 - BROOKLYN,OTHER,124064,83
K298,I.S. 363 - BROOKLYN,OTHER,145458,98
K298,I.S. 363 - BROOKLYN,ROOF,4679593,3147
K298,P.S. 298 - BROOKLYN,OTHER,1132711,762
K299,P.S. 299 - BROOKLYN,OTHER,372067,250
K302,I.S. 302 - BROOKLYN,OTHER,617990,416
K302,LIBERTY AVENUE MIDDLE SCHOOL,OTHER,193923,130
K302,SCHOOL BASED HEALTH CENTER - B,OTHER,205262,138
K302,VISTA ACADEMY - BROOKLYN,OTHER,598769,403
K304,BRIGHTER CHOICE COMMUN SCHL,OTHER,511972,344
K304,YOUNG SCHOLARS ACADEMY - BKLN,OTHER,5488106,3691
K305,P.S. 305 - BROOKLYN,OTHER,15341,10
K306,P.S. 306 - BROOKLYN,OTHER,890993,599
K307,P.S. 307 - BROOKLYN,OTHER,863034,580
K308,P.S. 308 - BROOKLYN,OTHER,323299,217
K309,P.S. 309 - BROOKLYN,OTHER,504076,339
K310,P.S. 310 - BROOKLYN,OTHER,326978,220
K313,URBAN ASSEMBLY HS - BROOKLYN,OTHER,53081,36
K314,P.S. 503 - BROOKLYN,OTHER,1776668,1195
K314,P.S. 503 - BROOKLYN,ROOF,6157595,4141
K314,P.S. 506 - BROOKLYN,OTHER,891514,600
K315,P.S. 17 - BROOKLYN,OTHER,8101620,5448
K316,P.S. 316 - BROOKLYN,OTHER,234509,158
K316,P.S. 316 - BROOKLYN,ROOF,3368066,2265
K317,P.S. 133 - BROOKLYN,OTHER,69736,47
K319,P.S. 319 - BROOKLYN,OTHER,185921,125
K320,M.S. 352 - BROOKLYN,OTHER,175000,118
K320,P.S. 375 - BROOKLYN,OTHER,7775431,5229
K321,P.S. 321 - BROOKLYN,OTHER,7791807,5240
K321,P.S. 321 - BROOKLYN,ROOF,2292009,1541
K324,I.S. 267 - BROOKLYN,OTHER,774176,521
K327,P.S. 327 - BROOKLYN,OTHER,537758,362
K328,P.S. 328 - BROOKLYN,OTHER,453578,305
K328,P.S. 328 - BROOKLYN,ROOF,6034854,4058
K330,P.S. 1 ANNEX - BROOKLYN,NEW SCHOOL,36266298,24389
K331,I.S. 30 - BROOKLYN,OTHER,75000,50
K332,CHRISTOPHER AVENUE COMMUNITY S,OTHER,12412,8
K333,SUNSET PARK AVENUES ELEMENTARY,OTHER,292085,196
K335,P.S. 335 - BROOKLYN,OTHER,846552,569
K345,P.S. 345 - BROOKLYN,OTHER,9487570,6380
K346,I.S. 452,OTHER,666304,448
K346,P.S. 346 - BROOKLYN,OTHER,404466,272
K356,I.S. 392 - BROOKLYN,OTHER,1368314,920
